LargestCommonDenominator CLASS 0 0 $CODESEGMENT
ans VAR 0 0 $DATASEGMENT
N VAR 0 2 $DATASEGMENT
CIN $IDENTIFIER 0 4 $DATASEGMENT
    
FUNCTIONCALL $IDENTIFIER 0 8 $DATASEGMENT
BURRISFACTORIAL $IDENTIFIER 0 10 $DATASEGMENT
LIT1 $NUMBER 1 14 $DATASEGMENT
    
    
    
T1 $TEMPORARY 0 30 $DATASEGMENT
T2 $TEMPORARY 0 32 $DATASEGMENT
T3 $TEMPORARY 0 34 $DATASEGMENT
T4 $TEMPORARY 0 36 $DATASEGMENT
T5 $TEMPORARY 0 38 $DATASEGMENT
T6 $TEMPORARY 0 40 $DATASEGMENT
T7 $TEMPORARY 0 42 $DATASEGMENT
T8 $TEMPORARY 0 44 $DATASEGMENT
T9 $TEMPORARY 0 46 $DATASEGMENT
T10 $TEMPORARY 0 48 $DATASEGMENT
